,house_age,dormitory_type,condition_type
0,New_House,house,Regular
1,New_House,house,Regular
2,New_House,apartment,Regular
3,New_House,house,Good
4,New_House,house,Regular
5,New_House,house,Regular
6,New_House,house,Regular
7,New_House,house,Regular
8,New_House,house,Regular
9,New_House,house,Regular
10,New_House,house,Regular
11,New_House,apartment,Regular
12,New_House,house,Regular
13,New_House,house,Regular
14,New_House,house,Regular
15,New_House,house,Regular
16,New_House,house,Regular
17,New_House,house,Regular
18,New_House,apartment,Regular
19,New_House,house,Regular
20,New_House,house,Regular
21,New_House,house,Regular
22,New_House,house,Regular
23,New_House,apartment,Regular
24,New_House,house,Regular
25,New_House,house,Good
26,New_House,house,Regular
27,New_House,house,Good
28,New_House,house,Regular
29,New_House,house,Regular
30,New_House,house,Regular
31,New_House,apartment,Regular
32,New_House,house,Regular
33,New_House,house,Regular
34,New_House,house,Regular
35,New_House,house,Regular
36,New_House,house,none
37,New_House,house,Regular
38,New_House,house,Bad
39,New_House,house,Regular
40,New_House,house,Regular
41,New_House,house,Regular
42,New_House,house,Regular
43,New_House,house,Regular
44,New_House,house,Regular
45,New_House,house,Regular
46,New_House,house,Regular
47,New_House,house,Regular
48,New_House,house,Regular
49,New_House,house,Good
50,New_House,house,Regular
51,New_House,house,Regular
52,New_House,house,Regular
53,New_House,apartment,Regular
54,New_House,house,Regular
55,New_House,house,Regular
56,New_House,house,Regular
57,New_House,house,Regular
58,New_House,house,Regular
59,New_House,house,Regular
60,New_House,house,Regular
61,New_House,house,Regular
62,New_House,house,Good
63,New_House,house,Regular
64,New_House,house,Regular
65,New_House,house,Good
66,New_House,house,Regular
67,New_House,house,Regular
68,New_House,house,Regular
69,New_House,house,Regular
70,New_House,house,Regular
71,New_House,house,Regular
72,New_House,house,Good
73,New_House,house,Regular
74,New_House,house,Good
75,New_House,house,Regular
76,New_House,house,Regular
77,New_House,house,Regular
78,New_House,house,Regular
79,New_House,house,Regular
80,New_House,house,Regular
81,New_House,house,Regular
82,New_House,apartment,Regular
83,New_House,house,Regular
84,New_House,house,Regular
85,New_House,house,Regular
86,New_House,house,Good
87,New_House,house,Regular
88,New_House,apartment,Regular
89,New_House,apartment,Regular
90,New_House,house,Regular
91,New_House,house,Regular
92,New_House,house,Regular
93,New_House,house,Regular
94,New_House,house,Regular
95,New_House,house,Regular
96,New_House,house,Regular
97,New_House,house,Regular
98,New_House,house,Good
99,New_House,house,Regular
100,New_House,house,Good
101,New_House,house,Regular
102,New_House,house,Regular
103,New_House,house,Regular
104,New_House,house,Regular
105,New_House,house,Regular
106,New_House,house,Regular
107,New_House,apartment,Regular
108,New_House,house,Regular
109,New_House,house,Regular
110,New_House,house,Regular
111,New_House,house,Good
